Name,Collection,ExternalDescription,InternalDescription
Tik Tok Post,Digital - Social Media,,"Rate is $15-$20 CPM - Integrate including player/game day content ($15), Co-created/custom content ($20). Avg. IPP - 93301"
LinkedIn Post,Digital - Social Media,,"Rate is $15-$20 CPM - Integrate including player/game day content ($15), Co-created/custom content ($20). Avg. IPP - 5,602 LinkedIn used for a partner announcement or community work"
Facebook/Insta/Twitter Combo,Digital - Social Media,Post on all 3 platforms,"Post on all 3 platforms - IPP -78,832/1,000 X CPM"
Facebook/Insta/Twitter/Tok Combo,Digital - Social Media,Post on all 4 platforms,"Post on all 4 platforms - IPP - 155,123/1,000 XCPM"
Game Highlights - Video,Digital - Social Media,"On a win only, FB, X (Twitter), IG","On a win only - website, Facebook, Twitter, Instagram. 8,769 IPP (assumed min of 20 wins) - sold season long Integrate content price"
Game Day Graphics - Graphic/Photo,Digital - Social Media,"Inclusion on the game day graphics: morning of the game, score at halftime & final score","Game Preview (2), Morning of game (4), Score at half (4) and final (4). Presenting Sponsor benefit. Twitter/Facebook/Instagram 16,790 IPP. (40) - sold as a benefit for presenting sponsor, unit is one game. Min 3 posts Integrate content price"
Slow-Mo Cam - Video,Digital - Social Media,Logo on slow-mo replay video,"Home/away games only - Facebook, Twitter, Instagram. Logo on slow mo replay video. 67,286 IPP. Sold on per game basis (10 games max) Integrate content price, based on 2024 data since we didn't execute in 2025"
First half frames - Photos,Digital - Social Media,"Home/away games - Facebook, Twitter, Instagram","Home/away games only- Facebook, Twitter, Instagram."
Photos of the Game - Photo,Digital - Social Media,"Home/away games - Facebook, Twitter, Instagram","Home/away games only- Facebook, Twitter, Instagram. 17,820 IPP (Home)) - sold season long Integrate content price"
Game day Kicks - Photo,Digital - Social Media,"Home/away games - Facebook, Twitter, Instagram","Home/Road - Facebook, Twitter, Instagram. Assume 50,693 IPP. Integrate content price, based on 2024 since we didn't do regularly in 2025"
Game/Player/Stat Highlight -video,Digital - Social Media,"In-game or post-game post. Home and away (if on TV), posted on Facebook, Twitter, Instagram","In-game or post-game - Home and away if on tv - Facebook, Twitter, Instagram. 63,570 IPP. (44 games) - Sold on per game basis (min of 5/20 games max). Performs better on a win. Can combine with Broadcast Integrate content price"
This Week in Storm Basketball,Digital - Social Media,"Present this weekly feature in season - Facebook, Twitter, Instagram. Upcoming match ups other news","Present this weekly feature in season - Facebook, Twitter, Instagram. Upcoming match ups other news. Sold season long. 21,183 IPP and total posts depends on season length. Min of X weeks Integrate content price"
Overseas Update,Digital - Social Media,"Present the off-season following players who are playing overseas and their highlights, stats and accomplishments","Present the off-season following players who are playing overseas and their highlights, stats and accomplishments. 68,545 IPP and work with marketing team on total posts Integrate content price"
Players of the game/Stat Graphic- Photo/Graphic,Digital - Social Media,"Home and away - Facebook, Twitter, Instagram","Home and away - Facebook, Twitter, Instagram. 55,326 IPP (44 games) Integrate content price"
Milestones - Players/team accolades,Digital - Social Media,"Posts on records broken, achievements reached - Instagram, Facebook, Twitter","See Milestones in presenting platforms. Posts on records broken, achievements reached - Instagram, Facebook, Twitter. Check with marketing team on total posts. IPP 36,917. see presenting platform as this has in-arena and broadcast elements as well Integrate content price"
YouTube - Playlist Sponsor - Present YouTube Channel,Digital - Social Media,"Inclusion on content like press conference, long form content (Player stories)","Press conference, Long form content - Player Stories. Total impressions 3,739,000/15,200 hours watched. 78% yoy growth. Page/Channel views 356,000. Logo on thumb nail. Opp to run :5-:15 max video ad in Storm edited videos. Integration into custom/existing long form content Youtube - 2,720 2025 Highlights - 1,293 Press Conferences - 1,928"
Marquee Video - Partnership Launch video,Digital - Social Media,Full production video,Full Production- resembles high quality promotional spot (Lead Her forward video/Sound Transit). Can include player/coach integration. Min $500k investment Units = Individual videos
Brand Integrated Video - Social - Player/Doppler,Digital - Social Media,Short fun promo video,"Short fun promo video to be used on social (player inclusion needs to be over $100,000 spend on total partnership). Max is 5 per partner. Price is inclusive of social post across Insta/Facebook/Twitter Units = Individual videos. Example is SOS video, Starbucks, BECU, Xfinity Social videos need to have specific platform included. TW is shorter (<06 sec), Facebook is longer (>1 min), IG is mid. And size specs are different."
Brand integrated Video add-on (Video Board/Broadcast),Digital - Social Media,,This is an entirely new edit. The only difference is that we have to edit the footage...and editing takes longer than shooting the content.
Brand Integrated Video - Videoboard/Broadcast,Digital - Social Media,Video for both in-arena videoboard and broadcast,"Can be both in-arena and broadcast or just 1 of them - :15, :30, :45, :60. Max is 1-2 per partner. Player inclusion +$100k spend Units = Individual videos."
Brand integrated Video add-on (Social),Digital - Social Media,,"Videoboard/Broadcast spot edited for social Social videos need to have specific platform included. TW is shorter (<06 sec), Facebook is longer (>1 min), IG is mid. And size specs are different."
In-arena player intro,Digital - Social Media,Player to film an intro video for in-arena promotion,:06 intro/teaser from player - Carter T-shirt toss example. typically filmed at media day. This price needs to be added on to the promo price and total deal value needs to be over $100k. Check with Marketing/3PT to confirm makes sense Units = Individual videos. Depends on game inventory and promo plans. Some videos will rollover game-to-game. EX -T-Shirt toss
Video Recap,Digital - Social Media,Video recap content for a campaign/event,Community Event recap - preferred to pitch photo recap
Photo recap for social,Digital - Social Media,Photo recap content for a campaign/event,"Typically included already in Clinic, Storm Academy and other signature events. New events or showcasing work together would be in addition to the cost of the event - includes content capture - then add on social post cost"
Social Ad,Digital - Social Media,"Ads for cobranded content for promotion/campaign. If the content has opposing players, Partner logo can't be included","Ads for cobranded content for promotion/campaign. If the content has opposing players, Partner logo can't be included"
Broadcast Presenting Sponsor,Broadcast,"Inclusion in a cobrnaded backdrop (home only), score bug, spots, billboards (open/close +halftime) and a mutually agreed upon feature","Backdrop (home only), score bug, spots, billboards (open/close +halftime) and a mutually agreed upon feature (backdrop/score bug 30 games) Wasserman Valuation - 23 was 182k"
Virtual On-Court logo placement - Home,Broadcast,Two (2) virtual logo placements on both sides of court during a single quarter during locally televised home games. The spot is between the key and 3-pt arch.,"Two (2) virtual logo placements on both sides of court during Home games. Between the key and 3-pt arch. Visible during all locally televised home games. 4 spots per game so you get a dedicated quarter Wasserman - 25 - $330,000 (home only) so $660,000 for home & away. Price listed is for home only. This asset is sold at 3/1 ME value. Costs 2.5k per game to activate or around $75,000k for the season"
Virtual On-Court logo placement - Away,Broadcast,Two (2) virtual logo placements on both sides of court during a single quarter during locally televised away games. The spot is between the key and 3-pt arch.,"Two (2) virtual logo placements on both sides of court during Away games. Between the key and 3-pt arch. Visible during all locally televised road games. 4 spots per game so you get a dedicated quarter Wasserman - 25 - $330,000 (road only) so $660,000 for home & away. Price listed is for road only. This asset is sold at 3/1 ME value. Costs 2.5k per game to activate or around $75,000k for the season"
Virtual On-Court logo placement - Home & Away,Broadcast,Two (2) virtual logo placements on both sides of court during a single quarter during locally televisedhome & away games. The spot is between the key and 3-pt arch.,Two (2) virtual logo placements on both sides of court during Home & Away games. Between the key and 3-pt arch. Visible during all locally televised road games. 4 spots per game so you get a dedicated quarter
Halftime Show - Presenting,Broadcast,Inclusion in the open and close billboards and a feature,"Billboards - open and close, feature, logo exposure Wasserman 25 - $5,000"
Halftime Coach interview,Broadcast,"""Walk-off"" Interview with Coach right at halftime","""Walk-off"" Interview with coach right at half"
In-Game Spot,Broadcast,Broadcast spot during Storm locally televised games,"58 spots per game x 30 games. Units sold, includes 4 per game for W and 4 per game for Storm. Hold min 29 SPOTS for broadcast partner. Sold on a season long basis Wasserman 25 - Average of 4 partners was $1,712 per spot per game. Sell this as # of spots and not # of games due to WNBA taking games"
Pre-game spot,Broadcast,Broadcast spot during the pre-game show,KOMO pre-game show
Feature Sponsor - Season Long (Home Only),Broadcast,Feature on the broadcast during home games,"Starting Line-ups, player of the game, halftime stats, Keys to the Game, Stats for youth, Road to Recovery etc. (30 games). can combine with Social Game/Player/Stat Highlight. Sold as season long"
Feature Sponsor - Season Long (Home + Away),,Feature on the broadcast during home & away games,"Starting Line-ups, player of the game, halftime stats, Keys to the Game, Stats for youth, Road to Recovery etc. (30 games). can combine with Social Game/Player/Stat Highlight. Sold as season long"
Feature - Halftime,,Halftime feature on the broadcast,
Feature - single game,Broadcast,Feature on the broadcast,"Take it to the Bank, Trivia, Commission Cup, All-Star (check w/production team)"
End of Quarter Score,Broadcast,Score update with logo inclusion & mention,Score update with logo & mention (30 games)
Billboards - opening and closing,Broadcast,Opening & closing billboards,"4 per game, 8 total (1 saved for Presenting Sponsors) (30 games) Wasserman 25 - $6,700"
Billboards - halftime,Broadcast,Halftime show billboards,"1 saved for presenting sponsor Wasserman 25 - $6,700"
Mic Flag,Broadcast,Partner logo on the broadcast mic flag during all local games,Partner logo on mic flag - all local games - home only
Replay Swipe - see presenting platforms,Broadcast,Logo inclusion on the replay swipe during a specific quarter,Rotate throughout the game (min 2 per game). Can package with in-arena as well (30 games). 2-4 per quarter
Live Reads with Banner Graphic,Broadcast,Partner name mentioned & logo inclusion on the banner graphic,"Supporting a campaign (30 games), storm marketing, ticket sales, Storm app, theme game sponsors, contests, CSI read (K4E), other partner programs"
Roster Card Inclusion,,,"Logo inclusion. 2,000 per game/44,000 total 1 side $687 per 4,000 or $1,128 for 2 side"
Roster Card Back Page Ad,,,"Season-long - 2,000 per game/44,000- 1/4 page or 1/2 page if open $8,000 for the season"
Halftime,Fan Experience,Halftime performance,Perform at halftime - 40 people
National Anthem,Fan Experience,National Anthem performance,Sing the anthem - 40 people
50/50 Raffle,Fan Experience,50/50 Raffle during a game to raise funds for a non-profit,Raise funds for a non-profit - 8-16 people to work
Court of Dreams,Fan Experience,Play a basketball game on the Storm court pre-game,Play a bball game on the court pre-game (1-2 hours)
Pre-game warm up watch,Fan Experience,Watch the Storm and opponent warm up,Pre-doors - Sit in the tunnel club and watch warm-ups - 64 total (groups of 16 in 4 clubs)
Community Spotlight,Fan Experience,"Highlight a non-profit during a game, includes a table opportunity",highlight a non-profit + table on the plaza - 4-6 people
Non-Profit of the night,Fan Experience,"Highlight a non-profit during a game, includes a table opportunity and 50/50 fundraising",50/50 + Community Spotlight
Fan Tunnel pre-game,Fan Experience,Stand in the tunnel outside locker room when players run out pre-game,Stand in the tunnel club tunnel outside locker room when players run out - 30 people
Fan Tunnel half-time,Fan Experience,Stand in the tunnel outside locker room when players run out at halftime,Stand in the tunnel club tunnel outside locker room when players run out - 15 people
Post Game Free-Throw,Fan Experience,Free throw on the court after a game,Groups of 20 (40 total) - after post-game photo (30 min to shoot)
Ball Exchange,Fan Experience,"Receive a signed ball from players during Starting Line-ups, up to 11-12 kids","Receive a signed ball from players during Starting Line-ups, up to 11-12 kids"
Honorary Captains,Fan Experience,"Meet team captains before tip-off, picture and autographm up to 4 kids",Meet team captains before tip + picture and autograph - 4 kids
Post Game Photo,Fan Experience,"Group photo on the court post-game, max of 50 guests",Group photo on the court - 50 people max
Autographed Merch - Tier 1,Fan Experience,Autographed merchandise,Authentic Team Ball or Jersey $64 per ball
Autographed Merch - Tier 2,Fan Experience,Autographed merchandise,"Signed Picture, Signed Mini Ball, Pennants, replica jersey $5-$10 per item"
Courtside Seat Row 1 or 2,Tickets & Hospitality,Storm to share location what is available,VIP Row 1 & 2 get Verizon Lounge w/snacks pre and post-game
Courtside Seat Row 3 or 4,Tickets & Hospitality,Storm to share location what is available,VIP Row 3 & 4 - G Verizon pre game and can access WaFd/Symetra Club
Club Level Seats - Lower bowl sidelines,Tickets & Hospitality,Storm to share location what is available,Rows AA- Z- Includes WaFd/Symetra Club
Lower Level Seats (non-club),Tickets & Hospitality,,Low Baseline & Corners as well as Center of 2nd level
Lower Bowl Group Tickets,Tickets & Hospitality,,10+ people starts. Check pricing map
Suite,Tickets & Hospitality,20 tickets + 4 parking passes; Catering is additional and through DNC,(Not including F&B) 20 tickets + 4 parking passes
Courtside Dining,Tickets & Hospitality,1 table for 4 guests and comes with F&B credit each game,Table can be for 2 or 4 seats and comes with F&B credit each game $425 ticket revenue and $125 F & B including gratuity ($100 for F&B $25 for tip)
Cove Corner,Tickets & Hospitality,Cove corner for 20 guests,"20 people facing visiting team bench from the corner - ""Private Area"" in the bowl. 20 people - no parking - in seat service available Price varies by Value/Standard/Marquee"
Moet Lounge Group,Tickets & Hospitality,Moet Lounge space,"Entire space for 250 people, center for 150 people, or wing 50 people"
Space Needle,Tickets & Hospitality,Space Needle pre-game space,"1/2 the Space Needle Club pre-game, min 50 and max 100 capacity."
CPA Garage,Tickets & Hospitality,1 parking spot in the CPA Underground Paraking Garage,"Season rate - $49 per spot per game or $1,127 for the season."
Parking - 1St Ave,Tickets & Hospitality,1 parking spot in the 1st Ave Parking Garage,Season rate - $40 per spot per game or $920 for the season.
Sneakerball Table,Tickets & Hospitality,1 Table to the Sneakerball Gala supporting Kicks for Equality. Table for 4 guests,1 Table to the Sneakerball Gala supporting KFE. Table for 4 guests
Cobranded Signage,Other,Cobranded signage for specific event or promotion; Storm & Partner to determine best option,"Cobranded signage for specific event or promotion. Ex: DJ booth, pop-up banner, backdrop, etc."
Press Release,Other,Press release or media advisory inclusion,"Press release or media advisory inclusion for partner, community or large promotion announcement. Review Announcement Tiers for tips on when to include"
Courtside LED - Entitlement Game,Other,Match up Courtside LED inclusion during Entitlement Game,Match up Courtside LED inclusion during Entitlement Game
Arena LED Signage + Voms - Entitlement Game,Other,Match up Arena & Voms LED inclusion during Entitlement Game,Match up Arena & Voms LED inclusion during Entitlement Game
External Event Tabling,Other,Tabling for Partner at external event,Tabling for Partner at external event. Ex: Bar League Watch Parter
Fundraising,Other,Auction or fundraising opportunity,Auction or fundraising opportunity. Ex: KFE campaign or Toy Drive campaign fundraising
Donation,Other,Partner or Storm donation to campaign,Partner or Storm donation to campaign
Sneakerball Gala,Other,Present the Sneakerball Gala for KFE Game,Present the Sneakerball Gala for KFE Game
Toy Drive Drop Off,Other,Drop off event for the Toy Drive,Drop off event for Toy Drive; may include Players if they are available and/or willing
Giveaways (non-arena),Other,Giveaway opportunity for things like community events,Giveaway opportunity for non-game day events i.e. community events
Giveaways (in-arena),Other,Giveaway opportunity for game day door giveaway,Giveaway opportunity for game day door giveaway
Academy Session,Other,# of StormAcademy session(s),# of StormAcademy sessions
Exclusivity Premium,Other,,Premium added for exclusivity rights for certain assets and/or categories
Transportation,Other,Storm to provide transportation for event,Storm to provide transportation for cobranded event
Lunch,Other,Storm to provide lunch for event,Storm to provide lunch for cobranded event
Score Bug,Other,Score bug logo inclusion on the broadcast as part of the Broadcast Presenting Partnership,Score bug that is included in the Broadcast Presenting Partnership
CPA Endzone Barricade,Other,Logo inclusion on the CPA end-zone barricade,Logo inclusion on the CPA end-zone barricade. To be paired with the Free Throw Line Package
Additional $250k in benefits,Other,,"Add in additional $250,000 in benefits to build out the Training Facility Partner"
